gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
931141052	85b1cfb6-f762-11e1-a439-00145eb45e9a	74869B42-D7F7-4B90-84CF-69A29F4EBB2F	Animalia	Echinodermata	Echinoidea	Camarodonta	Temnopleuridae				FAMILY	Temnopleuridae	Temnopleuridae		SA	Yanbu, Ras Majiz		PRESENT		8483a1f0-1032-11db-ae00-b8a03c50a862	23.772533	38.276117							2014-03-03	3	3	2014	2749		PRESERVED_SPECIMEN	UF	Invertebrate Zoology	16230-Echinodermata				CC_BY_NC_4_0		Paulay, Gustav			2025-07-28T04:10:53.129Z		COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
931141030	85b1cfb6-f762-11e1-a439-00145eb45e9a	E9C8AED3-3559-4C4F-9839-FC926D1F92CC	Animalia	Echinodermata	Echinoidea	Camarodonta	Temnopleuridae	Salmaciella	Salmaciella erythracis		SPECIES	Salmaciella erythracis (H.L.Clark, 1912)	Salmaciella erythracis	(H.L. Clark 1912)	SA	Yanbu, Ras Majiz		PRESENT		8483a1f0-1032-11db-ae00-b8a03c50a862	23.772533	38.276117							2014-03-03	3	3	2014	5965111	5965111	PRESERVED_SPECIMEN	UF	Invertebrate Zoology	16229-Echinodermata				CC_BY_NC_4_0		Paulay, Gustav			2025-07-28T04:11:04.917Z	StillImage	COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
90233816	8598edb6-f762-11e1-a439-00145eb45e9a		Animalia	Echinodermata	Echinoidea	Camarodonta	Toxopneustidae	Nudechinus	Nudechinus scotiopremnus		SPECIES	Nudechinus scotiopremnus H.L.Clark, 1912	Nudechinus scotiopremnus	H. L. Clark	EG	gulf of suez		PRESENT		ff6a9550-c5c3-11d9-b4b2-b8a03c50a862	28.16667	33.45											4341511	4341511	OCCURRENCE	NCL	INDOBIS-DATASET1	109544				CC_BY_4_0					2025-08-04T03:55:10.166Z		GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;BASIS_OF_RECORD_INVALID
899689146	85b1cfb6-f762-11e1-a439-00145eb45e9a	32B23397-2AB0-4C95-BA33-F0C198E32513	Animalia	Echinodermata	Echinoidea	Spatangoida	Maretiidae	Maretia	Maretia planulata		SPECIES	Maretia planulata (Lamarck, 1816)	Maretia planulata	(Lamarck 1816)	SA	Al Wajh, Shaybarah		PRESENT		8483a1f0-1032-11db-ae00-b8a03c50a862	25.361567	36.912567							2013-10-04	4	10	2013	4341673	4341673	PRESERVED_SPECIMEN	UF	Invertebrate Zoology	14258-Echinodermata				CC_BY_NC_4_0		Paulay, Gustav; McKeon, Seabird			2025-07-28T04:11:00.492Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
899689106	85b1cfb6-f762-11e1-a439-00145eb45e9a	630756A0-1472-47BC-AD5C-D405E715A06C	Animalia	Echinodermata	Echinoidea	Camarodonta	Parasaleniidae	Parasalenia			GENUS	Parasalenia A.Agassiz, 1863	Parasalenia		SA	Al Wajh, Shaybarah		PRESENT		8483a1f0-1032-11db-ae00-b8a03c50a862	25.361567	36.912567							2013-10-03	3	10	2013	4341623		PRESERVED_SPECIMEN	UF	Invertebrate Zoology	14253-Echinodermata				CC_BY_NC_4_0		Paulay, Gustav; Uyeno, Daisuke; McKeon, Seabird			2025-07-28T04:11:01.900Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
899689095	85b1cfb6-f762-11e1-a439-00145eb45e9a	A809A82A-123C-450A-ADAA-E94DC7FAA417	Animalia	Echinodermata	Echinoidea	Diadematoida	Diadematidae	Diadema	Diadema setosum		SPECIES	Diadema setosum (Leske, 1778)	Diadema setosum	(Leske 1778)	SA	Al Wajh, Shaybarah		PRESENT		8483a1f0-1032-11db-ae00-b8a03c50a862	25.361567	36.912567							2013-10-03	3	10	2013	5721108	5721108	PRESERVED_SPECIMEN	UF	Invertebrate Zoology	14249-Echinodermata				CC_BY_NC_4_0		Paulay, Gustav; Uyeno, Daisuke; McKeon, Seabird			2025-07-28T04:11:04.006Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
899689043	85b1cfb6-f762-11e1-a439-00145eb45e9a	DE8E703F-434B-4410-961A-15EF968AAD40	Animalia	Echinodermata	Echinoidea	Echinothurioida	Echinothuriidae	Asthenosoma	Asthenosoma marisrubri		SPECIES	Asthenosoma marisrubri Weinberg & de Ridder, 1998	Asthenosoma marisrubi	Weinberg & de Ridder 1998	SA	An-Numan		PRESENT		8483a1f0-1032-11db-ae00-b8a03c50a862	27.13872	35.75142							2013-10-02	2	10	2013	7979790	7979790	PRESERVED_SPECIMEN	UF	Invertebrate Zoology	14245-Echinodermata				CC_BY_NC_4_0		Paulay, Gustav; McKeon, Seabird; Uyeno, Daisuke; Zakroff, Casey			2025-07-28T04:10:44.874Z		TAXON_MATCH_FUZZY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
899689012	85b1cfb6-f762-11e1-a439-00145eb45e9a	8B91F75E-D1AF-45F4-8BEC-93A7188FE3DE	Animalia	Echinodermata	Echinoidea	Cidaroida	Cidaridae	Prionocidaris			GENUS	Prionocidaris A.Agassiz, 1863	Prionocidaris		SA	An-Numan		PRESENT		8483a1f0-1032-11db-ae00-b8a03c50a862	27.13872	35.75142							2013-10-02	2	10	2013	2278821		PRESERVED_SPECIMEN	UF	Invertebrate Zoology	14241-Echinodermata				CC_BY_NC_4_0		Moore, Jenna			2025-07-28T04:11:02.991Z	StillImage	TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
899688994	85b1cfb6-f762-11e1-a439-00145eb45e9a	645B5C31-DBCD-4393-A84C-D3F8E35639E7	Animalia	Echinodermata	Echinoidea	Diadematoida	Diadematidae	Diadema	Diadema savignyi		SPECIES	Diadema savignyi (Audouin, 1809)	Diadema savignyi	(Michelin 1845)	SA	An-Numan		PRESENT		8483a1f0-1032-11db-ae00-b8a03c50a862	27.13872	35.75142							2013-10-02	2	10	2013	5721107	5721107	PRESERVED_SPECIMEN	UF	Invertebrate Zoology	14238-Echinodermata				CC_BY_NC_4_0		Paulay, Gustav; McKeon, Seabird; Uyeno, Daisuke; Zakroff, Casey			2025-07-28T04:10:52.310Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
899688964	85b1cfb6-f762-11e1-a439-00145eb45e9a	FF1028D2-1416-40FD-AFC8-95E2B5141129	Animalia	Echinodermata	Echinoidea	Clypeasteroida	Clypeasteridae	Clypeaster	Clypeaster reticulatus		SPECIES	Clypeaster reticulatus (Linnaeus, 1758)	Clypeaster reticulatus	(Linné 1758)	SA	Gulf of Aqaba, Joey's Shipwreck Bay		PRESENT		8483a1f0-1032-11db-ae00-b8a03c50a862	28.184617	34.638117							2013-10-01	1	10	2013	5721235	5721235	PRESERVED_SPECIMEN	UF	Invertebrate Zoology	14227-Echinodermata				CC_BY_NC_4_0		Paulay, Gustav; Uyeno, Daisuke; Zakroff, Casey			2025-07-28T04:11:15.917Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
